N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto
548370,2021-03-30,15528.0,United Kingdom,123,"229,33"
575767,2021-11-11,17348.0,United Kingdom,163,"209,73"
C570727,2021-10-12,12471.0,Germany,-1,"-1,45"
549106,2021-04-06,17045.0,United Kingdom,1,"39,95"
573112,2021-10-27,16416.0,United Kingdom,357,"344,83"
576630,2021-11-16,13816.0,Germany,91,"199,98"
538125,2020-12-09,18225.0,United Kingdom,16,"30,00"
544354,2021-02-18,13489.0,United Kingdom,64,"77,28"
546369,2021-03-11,15513.0,United Kingdom,10,"67,50"
570651,2021-10-11,14911.0,EIRE,86,"321,35"
C543628,2021-02-10,16558.0,United Kingdom,-5,"-9,25"
539736,2020-12-21,00000,United Kingdom,143,"1172,46"
537823,2020-12-08,00000,United Kingdom,1484,"6073,71"
575581,2021-11-10,12659.0,France,105,"91,68"
580987,2021-12-06,17389.0,United Kingdom,96,"720,00"
543754,2021-02-11,18159.0,United Kingdom,139,"530,15"
542418,2021-01-27,00000,United Kingdom,-17,"0,00"
C553508,2021-05-17,14000.0,United Kingdom,-3,"-1,95"
563233,2021-08-14,17988.0,United Kingdom,1,"2,95"
545417,2021-03-02,15622.0,United Kingdom,222,"576,00"
C577693,2021-11-21,12628.0,Germany,-3,"-16,85"
550759,2021-04-20,00000,United Kingdom,-7,"0,00"
C547309,2021-03-22,17416.0,United Kingdom,-12,"-45,00"
556427,2021-06-10,00000,United Kingdom,92,"435,69"
C555404,2021-06-02,17231.0,United Kingdom,-2,"-19,90"
576571,2021-11-15,12950.0,United Kingdom,164,"311,60"
550623,2021-04-19,13719.0,United Kingdom,78,"132,90"
576083,2021-11-14,17404.0,Sweden,1060,"1238,48"
562417,2021-08-04,00000,United Kingdom,526,"1691,38"
570733,2021-10-12,17190.0,United Kingdom,160,"249,74"
537026,2020-12-03,12395.0,Belgium,528,"346,10"
552837,2021-05-11,12901.0,United Kingdom,72,"140,04"
